('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367967 function calls (359047 primitive calls) in 2.303 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      117    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      332    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      107    0.000    0.000    0.005    0.000 client.py:540(_get_chunk_left)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:4(<module>)
        1    0.000    0.000    0.003    0.003 dammit.py:71(_populate_class_variables)
       10    0.000    0.000    0.001    0.000 request.py:444(add_handler)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      315    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      501    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       77    0.000    0.000    0.002    0.000 css_types.py:226(__init__)
      273    0.000    0.000    0.001    0.000 css_parser.py:335(match)
        1    0.000    0.000    0.005    0.005 tokenize.py:1(<module>)
     1288    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      112    0.000    0.000    0.003    0.000 _markupbase.py:168(parse_comment)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
       68    0.000    0.000    0.001    0.000 sre_parse.py:267(getuntil)
      124    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      518    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      229    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
     1622    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
    38/29    0.000    0.000    0.026    0.001 css_parser.py:712(parse_pseudo_open)
      366    0.000    0.000    0.001    0.000 _htmlparser.py:189(handle_data)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:4(<module>)
      518    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      201    0.000    0.000    0.000    0.000 types.py:171(__get__)
     1274    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:376(_freeze_relations)
      160    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      230    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.001    0.001 langbulgarianmodel.py:4(<module>)
        1    0.000    0.000    0.127    0.127 css_parser.py:1(<module>)
      270    0.000    0.000    0.117    0.000 re.py:250(compile)
      479    0.000    0.000    0.000    0.000 __init__.py:726(handle_data)
      330    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      130    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
     1145    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      260    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:4(<module>)
      800    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
    42/30    0.000    0.000    0.026    0.001 css_parser.py:565(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
      132    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      128    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      273    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      112    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
      209    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      800    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      126    0.000    0.000    0.447    0.004 {method 'readline' of '_io.BufferedReader' objects}
       88    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      266    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      456    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    162/4    0.000    0.000    0.270    0.068 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      131    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      273    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      107    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 css_types.py:32(Immutable)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        1    0.000    0.000    0.005    0.005 datetime.py:1(<module>)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      117    0.000    0.000    0.004    0.000 sre_parse.py:96(closegroup)
       52    0.000    0.000    0.008    0.000 css_parser.py:1012(<listcomp>)
      151    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      105    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      909    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      228    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      105    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      462    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
        2    0.000    0.000    0.000    0.000 socket.py:219(__init__)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      220    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       10    0.000    0.000    0.004    0.000 enum.py:430(_create_)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       22    0.000    0.000    0.000    0.000 util.py:14(lower)
      874    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      239    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.001    0.001 client.py:204(parse_headers)
        1    0.000    0.000    0.010    0.010 socket.py:4(<module>)
       46    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      214    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.051    0.051 ssl.py:983(_create)
      160    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       19    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
        5    0.000    0.000    0.332    0.066 __init__.py:1(<module>)
        1    0.000    0.000    0.006    0.006 request.py:801(__init__)
        1    0.000    0.000    0.000    0.000 client.py:768(HTTPConnection)
      218    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      100    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       42    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
      315    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      669    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       72    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fb1b3813af0}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fb1b27d8b80}
      100    0.000    0.000    0.000    0.000 re.py:270(escape)
       36    0.000    0.000    0.000    0.000 element.py:1905(__init__)
      131    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
        1    0.000    0.000    0.007    0.007 __init__.py:17(<module>)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
      303    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
       10    0.000    0.000    0.006    0.001 enum.py:483(_convert_)
       95    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.071    0.071 request.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ssl.py:4(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      349    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       15    0.000    0.000    0.056    0.004 css_parser.py:297(__init__)
      333    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
    34/24    0.000    0.000    0.142    0.006 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:28(<module>)
      217    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.015    0.015 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       35    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
      311    0.000    0.000    0.000    0.000 css_parser.py:303(get_name)
        1    0.000    0.000    2.032    2.032 financial.py:8(financial)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      335    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       29    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.001    0.001 css_types.py:1(<module>)
        1    0.000    0.000    0.177    0.177 element.py:2(<module>)
       34    0.000    0.000    0.000    0.000 enum.py:932(__or__)
        1    0.000    0.000    0.022    0.022 utils.py:5(<module>)
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
        1    0.000    0.000    0.010    0.010 mbcsgroupprober.py:30(<module>)
       14    0.000    0.000    0.034    0.002 css_parser.py:1055(process_selectors)
      128    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      158    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
    14/10    0.000    0.000    0.149    0.015 {built-in method builtins.__import__}
       16    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
        1    0.000    0.000    0.110    0.110 __init__.py:115(__init__)
        1    0.000    0.000    0.005    0.005 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       36    0.000    0.000    0.020    0.001 element.py:1767(find_all)
      165    0.000    0.000    0.000    0.000 enum.py:753(value)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      151    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      127    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    1.091    1.091 socket.py:771(create_connection)
        1    0.000    0.000    0.044    0.044 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       60    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        1    0.000    0.000    0.000    0.000 socket.py:301(makefile)
        1    0.000    0.000    0.188    0.188 __init__.py:2(<module>)
        1    0.000    0.000    0.040    0.040 dammit.py:2(<module>)
       76    0.000    0.000    0.000    0.000 element.py:1229(_all_strings)
      225    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
       16    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       34    0.000    0.000    0.005    0.000 element.py:1742(find)
        1    0.000    0.000    0.005    0.005 financial.py:16(<listcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       14    0.000    0.000    0.000    0.000 css_parser.py:450(__init__)
       18    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    1.608    1.608 request.py:1313(do_open)
       16    0.000    0.000    0.000    0.000 enum.py:68(__init__)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
       16    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
       60    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
    86/85    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.017    0.017 ssl.py:723(create_default_context)
       36    0.000    0.000    0.000    0.000 element.py:2162(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1578(<setcomp>)
       73    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
        1    0.000    0.000    1.091    1.091 client.py:916(connect)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
