('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367852 function calls (358932 primitive calls) in 6.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  151/123    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1288    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      332    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    5.919    5.919 financial.py:8(financial)
      105    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      127    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      130    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1944    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      479    0.000    0.000    0.000    0.000 __init__.py:726(handle_data)
     1274    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      894    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      112    0.000    0.000    0.003    0.000 _htmlparser.py:251(handle_comment)
      130    0.000    0.000    0.025    0.000 sre_compile.py:598(_code)
       95    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1145    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      130    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:767(parse_combinator)
      189    0.000    0.000    0.001    0.000 css_types.py:302(__init__)
      340    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1622    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      518    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      124    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      117    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      273    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      501    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      273    0.000    0.000    0.000    0.000 css_parser.py:335(match)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:4(<module>)
      518    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    0.000    0.000 langthaimodel.py:4(<module>)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      229    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      201    0.000    0.000    0.000    0.000 types.py:171(__get__)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      160    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 langturkishmodel.py:4(<module>)
      109    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
