('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         449680 function calls (437022 primitive calls) in 2.363 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    176/3    0.001    0.000    0.516    0.172 <frozen importlib._bootstrap_external>:842(exec_module)
      176    0.005    0.000    0.153    0.001 <frozen importlib._bootstrap_external>:914(get_code)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      176    0.006    0.000    0.105    0.001 <frozen importlib._bootstrap_external>:1034(get_data)
      176    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      173    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      173    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      173    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      172    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      172    0.001    0.000    0.002    0.000 enum.py:938(__and__)
      172    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      172    0.001    0.000    0.057    0.000 sre_compile.py:598(_code)
      172    0.002    0.000    0.162    0.001 sre_compile.py:759(compile)
      172    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      172    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      172    0.001    0.000    0.102    0.001 sre_parse.py:937(parse)
      169    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      169    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
      164    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      163    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      152    0.000    0.000    0.000    0.000 enum.py:748(name)
      143    0.000    0.000    0.000    0.000 socket.py:694(readable)
      142    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      142    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      142    0.484    0.003    0.484    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      142    0.000    0.000    0.485    0.003 ssl.py:1090(read)
      142    0.000    0.000    0.485    0.003 ssl.py:1230(recv_into)
      142    0.001    0.000    0.486    0.003 socket.py:655(readinto)
      140    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      136    0.001    0.000    0.001    0.000 css_parser.py:360(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:376(_freeze_relations)
  136/131    0.001    0.000    0.005    0.000 css_parser.py:386(freeze)
      136    0.000    0.000    0.003    0.000 css_types.py:177(__init__)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      133    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      130    0.000    0.000    0.001    0.000 os.py:670(__getitem__)
      130    0.000    0.000    0.000    0.000 os.py:748(encode)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      120    0.000    0.000    0.000    0.000 os.py:693(__iter__)
      120    0.001    0.000    0.001    0.000 __init__.py:604(_linkage_fixer)
      119    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      116    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      116    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
      112    0.000    0.000    0.003    0.000 _htmlparser.py:251(handle_comment)
      112    0.000    0.000    0.003    0.000 _markupbase.py:168(parse_comment)
      107    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      107    0.000    0.000    0.000    0.000 re.py:270(escape)
      103    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      103    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
       98    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       88    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       85    0.008    0.000    0.008    0.000 {built-in method posix.getcwd}
       84    0.000    0.000    0.001    0.000 css_parser.py:767(parse_combinator)
    83/47    0.000    0.000    0.338    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       78    0.000    0.000    0.000    0.000 element.py:1456(__eq__)
       78    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
       77    0.001    0.000    0.007    0.000 css_parser.py:458(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:226(__init__)
       76    0.000    0.000    0.000    0.000 element.py:1229(_all_strings)
       73    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
       72    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
       70    0.000    0.000    0.001    0.000 sre_parse.py:267(getuntil)
       69    0.000    0.000    0.000    0.000 status_codes.py:120(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_parser.py:528(parse_tag_pattern)
       69    0.000    0.000    0.001    0.000 css_types.py:212(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
       67    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       64    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       61    0.000    0.000    0.145    0.002 client.py:602(_safe_read)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       57    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
       56    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       52    0.000    0.000    0.001    0.000 typing.py:659(__init__)
       52    0.000    0.000    0.005    0.000 css_parser.py:1012(<listcomp>)
    52/14    0.001    0.000    0.025    0.002 css_parser.py:862(parse_selectors)
       51    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       50    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
       49    0.000    0.000    0.001    0.000 enum.py:932(__or__)
       47    0.000    0.000    0.342    0.007 {method 'readline' of '_io.BufferedReader' objects}
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       44    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
    42/16    0.000    0.000    0.392    0.024 {built-in method builtins.__import__}
